t_ms,joyY,joyX,tgtL,actL,thrL,ageL,tgtR,actR,thrR,ageR
9286,0,0,30,0,30,10,30,0,30,0
9296,0,0,30,0,30,0,30,0,30,9
9306,0,0,30,0,30,10,30,0,30,0
9316,0,0,30,0,30,0,30,0,30,9
9326,0,0,30,0,30,10,30,0,30,0
9336,0,0,30,0,30,0,30,0,30,9
9346,0,0,30,0,30,10,30,0,30,0
9356,0,0,30,0,30,0,30,0,30,9
9366,0,0,30,0,30,10,30,0,30,0
9376,0,0,30,0,30,0,30,0,30,9
9386,0,0,30,0,30,10,30,0,30,0
9396,0,0,30,0,30,0,30,0,30,9
9406,0,0,30,0,30,10,30,0,30,0
9416,0,0,30,0,30,0,30,0,30,9
9426,0,0,30,0,30,10,30,0,30,0
9436,0,0,30,0,30,0,30,0,30,9
9446,0,0,30,0,30,10,30,0,30,0
9456,0,0,30,0,30,0,30,0,30,9
9466,0,0,30,0,30,10,30,0,30,0
9476,0,0,30,0,30,0,30,0,30,9
9486,0,0,30,0,30,10,30,0,30,0
9496,0,0,30,0,30,0,30,0,30,9
9506,0,0,30,0,30,9,30,0,30,0
9516,0,0,30,0,30,0,30,0,30,10
9526,0,0,30,0,30,9,30,0,30,0
9536,0,0,30,0,30,0,30,0,30,9
9546,0,0,30,0,30,10,30,0,30,0
9556,0,0,30,0,30,0,30,0,30,9
9566,0,0,30,0,30,10,30,0,30,0
9576,0,0,30,0,30,0,30,0,30,9
9586,0,0,30,0,30,10,30,0,30,0
9596,0,0,30,0,30,0,30,0,30,9
9606,0,0,30,0,30,10,30,0,30,0
9616,0,0,30,0,30,0,30,0,30,9
9626,0,0,30,0,30,10,30,0,30,0
9636,0,0,30,0,30,0,30,0,30,9
9646,0,0,30,0,30,10,30,0,30,0
9656,0,0,30,0,30,0,30,0,30,9
